"","new_pcon","con","lab","ld","grn","brx","pc","snp","other","total_votes","con_pct","lab_pct","ld_pct","grn_pct","brx_pct","pc_pct","snp_pct","other_pct","winning_pct","winner"
"32","Bearsden and Campsie Fells",8387.84468507096,6427.8999028564,17391.5201018773,851.565763928635,0,0,20833.0777240729,505.720856902807,54397.629034709,0.154195041841236,0.11816507478212,0.319710994954953,0.0156544647081086,0,0,0.382977679243706,0.00929674446987619,0.382977679243706,"SNP"
"33","Beckenham and Penge BC",23770.4343577851,20737.3851331709,8617.90523756728,2281.30856892124,435.276898056379,0,0,97.2161411251266,55939.526336626,0.424930919413624,0.370710774495658,0.154057529656356,0.0407816926298778,0.00778120457146926,0,0,0.00173787923301515,0.424930919413624,"Con"
"34","Bedford BC",20278.8507069519,20527.5391667105,4586.86054223233,948.889428960515,893.651707349252,0,0,7.08665704969116,47242.8782092542,0.429246724069821,0.434510765321861,0.0970910477112682,0.0200853433348742,0.0189161147928154,0,0,0.000150004769360199,0.434510765321861,"Lab"
"35","Bedworth and North Warwickshire CC",30249,12293,2069,1303,0,0,0,0,45914,0.658818660974866,0.267739687241364,0.0450625081674435,0.0283791436163262,0,0,0,0,0.658818660974866,"Con"
"36","Bermondsey and Old Southwark BC",7931.78949032485,24034.6125220712,12747.7467144652,19.0765944756898,1292.9281360848,0,0,1.55411796462942,46027.7075753864,0.172326407465194,0.522177049176437,0.276958106018779,0.000414458930948174,0.0280902135733607,0,0,3.37648352806623e-05,0.522177049176437,"Lab"
"37","Berwick and Morpeth CC",26962.2645821584,11489.0386342434,7955.53477127665,1651.66620996904,361.170164242415,0,0,35.4682805029882,48455.142642393,0.556437626881928,0.237106693071455,0.164183497095238,0.0340864997995902,0.00745370139363558,0,0,0.000731981758154134,0.556437626881928,"Con"
"38","Berwickshire, Roxburgh and Selkirk",25460.6144649429,2486.82608369855,4179.35184386878,0,0,0,20332.8375564656,0,52459.6299489758,0.48533728678046,0.0474045677813079,0.0796679627350361,0,0,0,0.387590182703196,0,0.48533728678046,"Con"
"39","Bethnal Green and Stepney BC",5485.46253188072,39413.7602869086,5346.63879328631,2166.96462996785,882.142164518093,0,0,370.479378300773,53665.4477848624,0.102215909086815,0.734434574084114,0.0996290725965852,0.0403791400130475,0.0164378049737791,0,0,0.00690349924565943,0.734434574084114,"Lab"
"40","Beverley and Holderness CC",29852.3623857014,11709.0649643191,4268.30470914041,1246.84858493858,0,0,0,1280.03671305851,48356.617357158,0.617337688556962,0.242139868424562,0.0882672308862108,0.025784445916253,0,0,0,0.0264707662160127,0.617337688556962,"Con"
"41","Bexhill and Battle CC",32267.8193817816,9704.77676761849,6098.60700662809,2009.42147353013,0,0,0,60.8895246271235,50141.5141541854,0.643535001407374,0.193547740456665,0.121627898748228,0.0400750058594391,0,0,0,0.0012143535282937,0.643535001407374,"Con"
"42","Bexleyheath and Crayford BC",28298.4171878609,12223.4945255804,2895.31074789494,1225.86610937987,437.091572279236,0,0,514.135416174814,45594.3155591701,0.620656694607831,0.268092510561263,0.0635015727813162,0.0268863803381146,0.0095865365433987,0,0,0.0112763051680772,0.620656694607831,"Con"
"43","Bicester and Woodstock CC",27689.8497126831,10018.6068019457,11895.9181907409,1185.553656292,236.099473197354,0,0,0,51026.0278348589,0.542661282635966,0.196343067000433,0.233134317827774,0.0232342925090885,0.00462704002673828,0,0,0,0.542661282635966,"Con"
"44","Birkenhead BC",8274.91138177778,30835.0368236541,2012.85933238627,1574.9580057445,1757.99063648762,0,0,7285,51740.7561800502,0.159930236678071,0.595952573950652,0.0389027815013336,0.0304394083508149,0.0339769026639284,0,0,0.1407980968552,0.595952573950652,"Lab"
"45","Birmingham Edgbaston BC",15737.85810144,23420.0186916832,3384.37509218382,1098.80974268167,1028.94584936461,0,0,0,44670.0074773533,0.352313755698804,0.524289562824825,0.0757639249086676,0.0245983783020125,0.0230343782656911,0,0,0,0.524289562824825,"Lab"
"46","Birmingham Erdington BC",15782.0188628138,19829.6973126067,1618.90815359709,816.403374347465,1948.16466163616,0,0,49.1728499280794,40044.3652149293,0.394113348485043,0.495193198997542,0.0404278640679646,0.0203874719942643,0.0486501571739199,0,0,0.00122795928126604,0.495193198997542,"Lab"
"47","Birmingham Hall Green BC",7658.8134390522,33353.9040768051,3628.32614952149,827.833909062285,855.281000095211,0,0,3867.38444218227,50191.5430167185,0.152591711247074,0.664532350912087,0.0722895916611473,0.016493493909652,0.017040340836111,0,0,0.0770525114339294,0.664532350912087,"Lab"
